# STATION: 007HI
# STATION NAME: Laupahoehoe
# LATITUDE: 19.93200
# LONGITUDE: -155.29100
# ELEVATION [ft]: 3776.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
007HI,2024-01-15T23:05:00Z,20.689,81.88,1.729,354.3,883.97,,,0.0,,,,,75.4,0.0,0.0,,N,,17.47
007HI,2024-01-15T23:10:00Z,20.906,82.73,1.518,17.24,906.48,,,0.0,,,,12.96,78.28,0.0,0.0,,NNE,,17.84
007HI,2024-01-15T23:15:00Z,20.6,81.7,1.466,14.85,725.53,,,0.0,,,,,60.51,0.0,0.0,,NNE,,17.34
007HI,2024-01-15T23:20:00Z,20.706,80.56,0.926,30.3,778.35,,,0.0,,,,12.89,65.73,0.0,0.0,,NNE,,17.22
007HI,2024-01-15T23:25:00Z,20.628,81.07,1.605,22.34,893.77,,,0.0,,,,,77.13,0.0,0.0,,NNE,,17.25
007HI,2024-01-15T23:30:00Z,20.556,77.34,0.895,24.57,858.38,,,0.0,,,,12.98,74.33,0.0,0.0,,NNE,,16.43
007HI,2024-01-15T23:35:00Z,20.85,75.74,1.183,328.4,839.91,,,0.0,,,,,71.23,0.0,0.0,,NNW,,16.39
007HI,2024-01-15T23:40:00Z,21.222,71.59,0.931,0.33,834.84,,,0.0,,,,13.01,71.38,0.0,0.0,,N,,15.86
007HI,2024-01-15T23:45:00Z,21.511,74.08,1.718,353.5,827.57,,,0.0,,,,,69.74,0.0,0.0,,N,,16.68
007HI,2024-01-15T23:50:00Z,21.278,78.15,1.754,7.33,831.21,,,0.0,,,,13.01,69.68,0.0,0.0,,N,,17.3
007HI,2024-01-15T23:55:00Z,20.939,81.23,2.577,15.49,828.95,,,0.0,,,,,70.63,0.0,0.0,,NNE,,17.58
